address,lat,long,pop
"Antônio Prado, Rio Grande do Sul",-28.8567806,-51.2801355,14159
"Bento Gonçalves, Rio Grande do Sul",-29.1654014,-51.5197627,115069
"Camargo, Rio Grande do Sul",-28.5865661,-52.2031474,2524
"Caxias do Sul, Rio Grande do Sul",-29.1684796,-51.1793861,735276
"Fagundes Varela, Rio Grande do Sul",-28.8807515,-51.6987798,2596
"Flores da Cunha, Rio Grande do Sul",-29.030129,-51.1833349,27135
"Guabiju, Rio Grande do Sul",-28.5417413,-51.6910921,1586
"Ivorá, Rio Grande do Sul",-29.5196814,-53.5804505,1910
"Nova Erechim, Santa Catarina",-26.9027688,-52.9071258,4275
"Nova Pádua, Rio Grande do Sul",-29.0283514,-51.3075981,2563
"Nova Roma do Sul, Rio Grande do Sul",-28.9884663,-51.4086514,3584
"Paraí, Rio Grande do Sul",-28.5966772,-51.7851426,7357
"Serafina Corrêa, Rio Grande do Sul",-28.7120266,-51.9343269,17502
